method,gene_id
frozen_signature,Solyc07g051820
frozen_signature,Solyc07g051950
frozen_signature,Solyc07g053540
frozen_signature,Solyc07g054750
frozen_signature,Solyc07g054800
frozen_signature,Solyc07g054860
frozen_signature,Solyc07g055050
frozen_signature,Solyc07g055690
frozen_signature,Solyc07g056510
frozen_signature,Solyc07g056540
frozen_signature,Solyc07g056670
frozen_signature,Solyc07g056700
frozen_signature,Solyc07g061970
frozen_signature,Solyc07g062550
frozen_signature,Solyc07g062670
frozen_signature,Solyc07g063350
frozen_signature,Solyc07g063600
frozen_signature,Solyc07g063850
frozen_signature,Solyc07g064720
frozen_signature,Solyc07g065290
frozen_signature,Solyc07g065540
frozen_signature,Solyc07g066150
frozen_signature,Solyc08g005610
frozen_signature,Solyc08g005630
frozen_signature,Solyc08g005770
frozen_signature,Solyc08g006310
frozen_signature,Solyc08g007240
frozen_signature,Solyc08g007850
frozen_signature,Solyc08g007890
frozen_signature,Solyc08g013670
frozen_signature,Solyc08g014010
frozen_signature,Solyc08g014130
frozen_signature,Solyc08g016310
frozen_signature,Solyc08g044260
frozen_signature,Solyc08g061020
frozen_signature,Solyc08g061560
frozen_signature,Solyc08g063090
frozen_signature,Solyc08g066240
frozen_signature,Solyc08g066260
frozen_signature,Solyc08g066330
frozen_signature,Solyc08g066360
frozen_signature,Solyc08g066430
frozen_signature,Solyc08g067030
frozen_signature,Solyc08g069010
frozen_signature,Solyc08g075080
frozen_signature,Solyc08g075490
frozen_signature,Solyc08g076520
frozen_signature,Solyc08g077210
frozen_signature,Solyc08g077550
frozen_signature,Solyc08g078870
frozen_signature,Solyc08g080490
frozen_signature,Solyc08g080630
frozen_signature,Solyc08g081220
frozen_signature,Solyc08g081790
frozen_signature,Solyc08g081940
frozen_signature,Solyc08g082250
frozen_signature,Solyc08g082620
frozen_signature,Solyc09g005560
frozen_signature,Solyc09g007940
frozen_signature,Solyc09g011470
frozen_signature,Solyc09g011590
frozen_signature,Solyc09g011610
frozen_signature,Solyc09g011720
frozen_signature,Solyc09g014350
frozen_signature,Solyc09g015000
frozen_signature,Solyc09g025210
frozen_signature,Solyc09g031740
frozen_signature,Solyc09g031880
frozen_signature,Solyc09g059170
frozen_signature,Solyc09g061890
frozen_signature,Solyc09g065670
frozen_signature,Solyc09g066060
frozen_signature,Solyc09g072560
frozen_signature,Solyc09g074630
frozen_signature,Solyc09g075140
frozen_signature,Solyc09g075810
frozen_signature,Solyc09g083130
frozen_signature,Solyc09g083190
frozen_signature,Solyc09g083390
frozen_signature,Solyc09g089750
frozen_signature,Solyc09g091670
frozen_signature,Solyc09g092130
frozen_signature,Solyc09g092430
frozen_signature,Solyc09g092580
frozen_signature,Solyc09g098340
frozen_signature,Solyc10g005010
frozen_signature,Solyc10g005210
frozen_signature,Solyc10g006720
frozen_signature,Solyc10g006880
frozen_signature,Solyc10g007600
frozen_signature,Solyc10g009260
frozen_signature,Solyc10g011950
frozen_signature,Solyc10g018140
frozen_signature,Solyc10g018780
frozen_signature,Solyc10g024420
frozen_signature,Solyc10g024430
frozen_signature,Solyc10g044510
frozen_signature,Solyc10g044680
frozen_signature,Solyc10g047030
frozen_signature,Solyc10g047240
frozen_signature,Solyc10g049230
frozen_signature,Solyc10g050110
frozen_signature,Solyc10g050980
frozen_signature,Solyc10g051020
frozen_signature,Solyc10g051120
frozen_signature,Solyc10g054080
frozen_signature,Solyc10g054670
frozen_signature,Solyc10g054840
frozen_signature,Solyc10g054900
frozen_signature,Solyc10g075070
frozen_signature,Solyc10g076240
frozen_signature,Solyc10g076710
frozen_signature,Solyc10g078160
frozen_signature,Solyc10g078740
frozen_signature,Solyc10g079050
frozen_signature,Solyc10g079410
frozen_signature,Solyc10g080210
frozen_signature,Solyc10g080390
frozen_signature,Solyc10g080540
frozen_signature,Solyc10g080900
frozen_signature,Solyc10g080980
frozen_signature,Solyc10g081010
frozen_signature,Solyc10g083400
frozen_signature,Solyc10g083440
frozen_signature,Solyc10g083670
frozen_signature,Solyc10g084600
frozen_signature,Solyc10g085830
frozen_signature,Solyc10g086320
frozen_signature,Solyc10g086710
frozen_signature,Solyc11g005990
frozen_signature,Solyc11g006020
frozen_signature,Solyc11g006250
frozen_signature,Solyc11g006670
frozen_signature,Solyc11g007250
frozen_signature,Solyc11g007540
frozen_signature,Solyc11g008630
frozen_signature,Solyc11g008720
frozen_signature,Solyc11g008810
frozen_signature,Solyc11g010200
frozen_signature,Solyc11g010690
frozen_signature,Solyc11g010960
frozen_signature,Solyc11g011210
frozen_signature,Solyc11g012860
frozen_signature,Solyc11g012880
frozen_signature,Solyc11g018500
frozen_signature,Solyc11g020330
frozen_signature,Solyc11g022590
frozen_signature,Solyc11g040150
frozen_signature,Solyc11g042940
frozen_signature,Solyc11g044910
frozen_signature,Solyc11g056680
frozen_signature,Solyc11g064910
frozen_signature,Solyc11g065350
frozen_signature,Solyc11g066670
frozen_signature,Solyc11g071980
frozen_signature,Solyc11g072040
frozen_signature,Solyc11g072080
frozen_signature,Solyc11g072310
frozen_signature,Solyc12g006140
frozen_signature,Solyc12g006470
frozen_signature,Solyc12g006520
frozen_signature,Solyc12g006530
frozen_signature,Solyc12g006660
frozen_signature,Solyc12g008430
frozen_signature,Solyc12g008480
frozen_signature,Solyc12g009800
frozen_signature,Solyc12g009930
frozen_signature,Solyc12g010050
frozen_signature,Solyc12g011310
frozen_signature,Solyc12g011410
frozen_signature,Solyc12g011450
frozen_signature,Solyc12g013680
frozen_signature,Solyc12g013700
frozen_signature,Solyc12g013710
frozen_signature,Solyc12g014570
frozen_signature,Solyc12g015630
frozen_signature,Solyc12g015690
frozen_signature,Solyc12g015850
frozen_signature,Solyc12g017250
frozen_signature,Solyc12g017530
frozen_signature,Solyc12g040640
frozen_signature,Solyc12g041950
frozen_signature,Solyc12g042010
frozen_signature,Solyc12g044540
frozen_signature,Solyc12g049030
frozen_signature,Solyc12g049520
frozen_signature,Solyc12g055810
frozen_signature,Solyc12g055840
frozen_signature,Solyc12g055970
frozen_signature,Solyc12g070080
frozen_signature,Solyc12g088220
frozen_signature,Solyc12g088350
frozen_signature,Solyc12g088700
frozen_signature,Solyc12g094640
frozen_signature,Solyc12g096570
frozen_signature,Solyc12g096870
frozen_signature,Solyc12g098340
frozen_signature,Solyc12g098490
frozen_signature,Solyc12g098600
frozen_signature,Solyc12g098790
frozen_signature,Solyc12g099430
frozen_signature,Solyc12g100250
frozen_signature,Solyc12g100270
source_top500,Solyc00g060810
source_top500,Solyc10g080210
source_top500,Solyc07g054800
source_top500,Solyc10g007600
source_top500,Solyc12g040640
source_top500,Solyc08g005770
source_top500,Solyc07g055690
source_top500,Solyc10g050980
source_top500,Solyc12g098340
source_top500,Solyc01g108490
source_top500,Solyc03g007930
source_top500,Solyc02g089140
source_top500,Solyc12g088220
source_top500,Solyc12g008430
source_top500,Solyc10g054900
source_top500,Solyc06g048440
source_top500,Solyc02g089080
source_top500,Solyc03g121180
source_top500,Solyc06g071290
source_top500,Solyc09g072560
source_top500,Solyc06g050870
source_top500,Solyc11g010960
source_top500,Solyc09g083190
source_top500,Solyc03g007780
source_top500,Solyc12g011310
source_top500,Solyc08g081220
source_top500,Solyc10g005210
source_top500,Solyc01g095080
source_top500,Solyc07g054750
source_top500,Solyc02g083840
source_top500,Solyc01g080410
source_top500,Solyc07g053540
source_top500,Solyc02g065260
source_top500,Solyc05g005550
source_top500,Solyc05g010700
source_top500,Solyc01g080680
source_top500,Solyc11g006250
source_top500,Solyc08g005630
source_top500,Solyc04g070970
source_top500,Solyc01g110000
source_top500,Solyc02g063030
source_top500,Solyc09g066060
source_top500,Solyc06g074000
source_top500,Solyc08g075490
source_top500,Solyc12g006470
source_top500,Solyc03g031630
source_top500,Solyc02g005110
source_top500,Solyc03g013340
source_top500,Solyc10g011950
source_top500,Solyc10g075070
source_top500,Solyc01g107730
source_top500,Solyc04g074110
source_top500,Solyc08g007240
source_top500,Solyc09g014350
source_top500,Solyc04g077620
source_top500,Solyc01g080280
source_top500,Solyc09g025210
source_top500,Solyc02g085950
source_top500,Solyc12g014570
source_top500,Solyc02g083680
source_top500,Solyc05g012020
source_top500,Solyc06g083070
source_top500,Solyc10g084600
source_top500,Solyc07g054860
source_top500,Solyc05g014280
source_top500,Solyc09g091670
source_top500,Solyc02g067750
source_top500,Solyc01g109920
source_top500,Solyc02g080160
source_top500,Solyc08g069010
source_top500,Solyc02g032950
source_top500,Solyc01g099040
source_top500,Solyc04g080250
source_top500,Solyc10g018140
source_top500,Solyc05g053310
source_top500,Solyc02g083730
source_top500,Solyc03g120570
source_top500,Solyc08g081790
source_top500,Solyc12g006560
source_top500,Solyc02g087840
source_top500,Solyc10g009260
source_top500,Solyc03g113930
source_top500,Solyc05g014000
source_top500,Solyc10g049230
source_top500,Solyc05g025690
source_top500,Solyc12g013680
source_top500,Solyc07g051950
source_top500,Solyc08g044260
source_top500,Solyc10g083400
source_top500,Solyc03g118100
source_top500,Solyc10g047240
source_top500,Solyc01g079240
source_top500,Solyc03g112760
source_top500,Solyc02g070890
source_top500,Solyc05g018510
source_top500,Solyc08g067030
source_top500,Solyc01g088400
source_top500,Solyc04g076220
source_top500,Solyc08g061560
source_top500,Solyc08g061020
source_top500,Solyc10g044680
source_top500,Solyc06g035580
source_top500,Solyc01g094700
source_top500,Solyc02g091920
source_top500,Solyc10g024420
source_top500,Solyc03g117300
source_top500,Solyc04g071800
source_top500,Solyc12g006520
source_top500,Solyc07g008210
source_top500,Solyc09g092130
source_top500,Solyc09g061890
source_top500,Solyc02g085380
source_top500,Solyc08g066240
source_top500,Solyc04g064620
source_top500,Solyc09g090680
source_top500,Solyc01g099620
source_top500,Solyc01g086920
source_top500,Solyc02g063150
source_top500,Solyc07g041640
source_top500,Solyc01g074030
source_top500,Solyc04g077640
source_top500,Solyc06g084030
source_top500,Solyc07g042390
source_top500,Solyc08g082620
source_top500,Solyc06g051150
source_top500,Solyc07g062670
source_top500,Solyc10g079050
source_top500,Solyc04g040130
source_top500,Solyc12g100250
source_top500,Solyc11g008630
source_top500,Solyc01g104900
source_top500,Solyc06g051800
source_top500,Solyc07g022900
source_top500,Solyc02g083670
source_top500,Solyc08g007890
source_top500,Solyc08g063090
source_top500,Solyc01g097290
source_top500,Solyc07g008430
source_top500,Solyc07g049300
source_top500,Solyc12g015630
source_top500,Solyc10g080390
source_top500,Solyc11g018500
source_top500,Solyc01g108400
source_top500,Solyc12g096570
source_top500,Solyc02g088270
source_top500,Solyc11g006020
source_top500,Solyc11g056680
source_top500,Solyc08g066260
source_top500,Solyc02g070020
source_top500,Solyc06g072650
source_top500,Solyc03g083440
source_top500,Solyc09g059170
source_top500,Solyc12g009800
source_top500,Solyc02g090960
source_top500,Solyc02g070940
