gene_id,display_name,frozen_grade,context,role,n_early,n_late,effect_scale,measured,effect,reference_effect,same_direction,bootstrap_same_direction_frequency,effect_bootstrap_p025,effect_bootstrap_p975
Solyc10g083400,Solyc10g083400,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,6.054003413594369,0.5841820126488095,True,1.0,5.832391472683618,6.2756153545051205
Solyc08g014130,IPMS2,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,6.896135497989198,0.478701636904762,True,1.0,6.616918341507091,7.175352654471305
Solyc01g108490,Solyc01g108490,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-5.543216507318264,-0.7807965959821428,True,1.0,-5.996574515796663,-5.089858498839865
Solyc10g084600,Solyc10g084600,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,4.227250244669211,0.6166178385416667,True,1.0,3.877002034455798,4.577498454882624
Solyc02g070890,Solyc02g070890,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,4.0823134334972,0.5818684895833335,True,1.0,3.725279154989495,4.439347712004906
Solyc09g092430,Solyc09g092430,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-4.3890501708262715,-0.418701171875,True,1.0,-4.45641160540385,-4.321688736248693
Solyc08g080630,ER1,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,6.51432456883115,0.47013346354166663,True,1.0,6.2166471237328675,6.812002013929434
Solyc01g104850,Solyc01g104850,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-1.2780307708737693,-0.5013718377976191,True,1.0,-1.7421722997586402,-0.8138892419888984
Solyc07g063600,Solyc07g063600,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-5.417140883992842,-0.4616582961309524,True,1.0,-6.1118639133549335,-4.722417854630751
Solyc03g118060,Solyc03g118060,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,5.0828518082692336,0.4217471168154762,True,1.0,4.910726944373061,5.254976672165406
Solyc10g079050,Solyc10g079050,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,4.266464959253838,0.5567452566964286,True,1.0,3.7778232795863262,4.755106638921349
Solyc07g042390,Solyc07g042390,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-4.599707834100588,-0.5619187127976191,True,1.0,-4.709255162548249,-4.490160505652928
Solyc01g095080,ACS2,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,8.916085990731844,0.6965680803571429,True,1.0,8.485242159463102,9.346929822000584
Solyc08g005610,CYP707A2,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,0.07644216709178142,0.4896647135416666,True,0.625,-1.2431285394488163,1.3960128736323785
Solyc12g017530,Solyc12g017530,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,3.2684616415284142,0.4520786830357142,True,1.0,2.3125628501687006,4.224360432888128
Solyc07g054750,Solyc07g054750,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-0.7873702943578818,0.6946265811011906,False,0.0,-0.8972312682327,-0.6775093204830634
Solyc02g083380,Solyc02g083380,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,3.713965600101416,0.4128882998511906,True,1.0,3.3195756993865877,4.108355500816244
Solyc06g068900,Solyc06g068900,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,6.905442364902088,0.5066615513392856,True,1.0,6.705909516370727,7.104975213433451
Solyc03g114360,Solyc03g114360,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,0.09549258236755609,0.4378255208333335,True,0.75,-0.08191430075048434,0.2728994654855965
Solyc08g078870,Solyc08g078870,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,0.1292197057949171,0.4613676525297618,True,1.0,0.12173128630422733,0.13670812528560689
Solyc06g072650,Solyc06g072650,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,1.025989494741176,0.5408296130952381,True,1.0,1.0235335300683868,1.0284454594139654
Solyc12g096570,ARGOS,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,5.129379439893732,0.5442475818452381,True,1.0,5.0808341789252935,5.177924700862171
Solyc03g082560,Solyc03g082560,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-2.468239858223124,-0.41287667410714274,True,1.0,-2.759939768853319,-2.1765399475929295
Solyc01g066740,Solyc01g066740,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-4.515675375582107,-0.42368861607142866,True,1.0,-4.707480719206411,-4.323870031957803
Solyc04g080250,Solyc04g080250,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,5.16676274403666,0.5977957589285716,True,1.0,5.036226224220075,5.297299263853245
Solyc04g064870,Solyc04g064870,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,2.215152806170036,0.46723865327380965,True,1.0,1.9400178952593434,2.490287717080728
Solyc02g084600,Solyc02g084600,B,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,-4.132855565064604,-0.47564406622023814,True,1.0,-4.234559235613075,-4.0311518945161335
Solyc06g053950,Solyc06g053950,C,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,4.344332777233875,0.4723772321428572,True,1.0,4.016287903916909,4.672377650550841
Solyc04g080540,Solyc04g080540,C,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,3.057508768193613,0.41784086681547616,True,1.0,2.984803231585803,3.1302143048014233
Solyc08g005770,AAT,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.0014950770653209267,0.8120465959821429,True,1.0,0.0008803249825409809,0.0021338044793294403
Solyc01g006540,loxC,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.006752436877256129,0.47509765625,False,0.0,-0.009333412021599912,-0.0038272005665555353
Solyc06g051800,EXP1,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.0027368762725369367,0.5537225632440477,True,0.6203703703703703,-0.03222284517099938,0.03769659771607303
Solyc10g006880,NOR,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.0008065547326072675,0.418398902529762,False,0.0,-0.0011458978823018662,-0.000467211582912741
Solyc02g088270,Solyc02g088270,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.004959819803869614,0.543829055059524,True,1.0,0.0044360510293407485,0.005483588578398146
Solyc03g116510,Solyc03g116510,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.16872977465647665,0.45127650669642855,True,1.0,0.1363274218773054,0.2011321274356479
Solyc10g083400,Solyc10g083400,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.1508183579725968,0.5841820126488095,True,1.0,0.1369470919767476,0.16468962396844603
Solyc08g014130,IPMS2,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.009317182566614512,0.478701636904762,True,1.0,0.004799984262346735,0.013834380870882512
