gene_id,studyshield_score,permutation_count,empirical_p,bh_fdr
Solyc07g016170,-0.7025786654412438,1000,0.004995004995004995,0.01514825044236809
Solyc06g069380,-0.703572045800923,1000,0.004995004995004995,0.01514825044236809
Solyc12g055810,-0.7234104675799612,1000,0.004995004995004995,0.01514825044236809
Solyc08g082620,-0.820993939089132,1000,0.004995004995004995,0.01514825044236809
Solyc02g070890,0.9045572489273882,1000,0.005994005994005994,0.017168017168017167
Solyc04g077640,0.8947417582213304,1000,0.005994005994005994,0.017168017168017167
Solyc03g063730,0.7122171788888333,1000,0.005994005994005994,0.017168017168017167
Solyc03g118370,-0.5363659801660299,1000,0.005994005994005994,0.017168017168017167
Solyc09g011720,-0.5536086737350768,1000,0.005994005994005994,0.017168017168017167
Solyc02g085380,-0.6303453458666607,1000,0.005994005994005994,0.017168017168017167
Solyc12g009800,-0.686549024051839,1000,0.005994005994005994,0.017168017168017167
Solyc09g007940,-0.6984841014952572,1000,0.005994005994005994,0.017168017168017167
Solyc11g072080,-0.8259320333315102,1000,0.005994005994005994,0.017168017168017167
Solyc10g051020,0.8860560555910513,1000,0.006993006993006993,0.01854145854145854
Solyc01g095080,0.7802877521116603,1000,0.006993006993006993,0.01854145854145854
Solyc07g008210,-0.5658836565417533,1000,0.006993006993006993,0.01854145854145854
Solyc12g042010,-0.6723850499970941,1000,0.006993006993006993,0.01854145854145854
Solyc05g007120,-0.6812937580514513,1000,0.006993006993006993,0.01854145854145854
Solyc08g006310,-0.6848040416023683,1000,0.006993006993006993,0.01854145854145854
Solyc01g066740,-0.692585690149349,1000,0.006993006993006993,0.01854145854145854
Solyc02g091920,-0.7012863868983739,1000,0.006993006993006993,0.01854145854145854
Solyc07g042390,-0.7207094191407296,1000,0.006993006993006993,0.01854145854145854
Solyc03g116370,-0.7720553731088652,1000,0.006993006993006993,0.01854145854145854
Solyc03g121600,-0.829761792473138,1000,0.006993006993006993,0.01854145854145854
Solyc01g074030,-0.9450714598474184,1000,0.006993006993006993,0.01854145854145854
Solyc12g088700,-0.959477051003684,1000,0.006993006993006993,0.01854145854145854
Solyc10g079050,0.7113005291362009,1000,0.007992007992007992,0.02037522916643796
Solyc03g112030,0.6658092527102388,1000,0.007992007992007992,0.02037522916643796
Solyc06g054320,-0.6371894897089887,1000,0.007992007992007992,0.02037522916643796
Solyc10g054840,-0.7046396657216334,1000,0.007992007992007992,0.02037522916643796
Solyc03g112760,-0.7109849126294057,1000,0.007992007992007992,0.02037522916643796
Solyc01g094700,-0.7556702190065188,1000,0.007992007992007992,0.02037522916643796
Solyc07g054860,-0.7667407398830111,1000,0.007992007992007992,0.02037522916643796
Solyc06g005300,0.6597434999568671,1000,0.008991008991008992,0.022073164930307792
Solyc06g006090,-0.5185207706431351,1000,0.008991008991008992,0.022073164930307792
Solyc06g009770,-0.606039077062487,1000,0.008991008991008992,0.022073164930307792
Solyc03g078440,-0.6492969632661819,1000,0.008991008991008992,0.022073164930307792
Solyc01g086920,-0.654909799764835,1000,0.008991008991008992,0.022073164930307792
Solyc06g035580,-0.6999537044191841,1000,0.008991008991008992,0.022073164930307792
Solyc05g005920,-0.742798413150289,1000,0.008991008991008992,0.022073164930307792
Solyc08g080630,0.7480495224684532,1000,0.00999000999000999,0.023529769722663126
Solyc08g014130,0.6796970697399544,1000,0.00999000999000999,0.023529769722663126
Solyc03g120570,0.6627492802876589,1000,0.00999000999000999,0.023529769722663126
Solyc12g055840,-0.672242544413217,1000,0.00999000999000999,0.023529769722663126
Solyc08g066330,-0.7028419761368182,1000,0.00999000999000999,0.023529769722663126
Solyc05g010320,-0.737293856958327,1000,0.00999000999000999,0.023529769722663126
Solyc01g105050,-0.73735812230751,1000,0.00999000999000999,0.023529769722663126
Solyc02g070940,-0.9408291268034528,1000,0.00999000999000999,0.023529769722663126
Solyc04g082120,0.7015459384211123,1000,0.01098901098901099,0.024632372458459416
Solyc02g092110,0.616823544994846,1000,0.01098901098901099,0.024632372458459416
Solyc08g044260,-0.6198010539831684,1000,0.01098901098901099,0.024632372458459416
Solyc11g007540,-0.665635504954259,1000,0.01098901098901099,0.024632372458459416
Solyc02g081600,-0.6787032280573023,1000,0.01098901098901099,0.024632372458459416
Solyc03g013340,-0.6794227536193154,1000,0.01098901098901099,0.024632372458459416
Solyc11g006020,-0.7004863971219071,1000,0.01098901098901099,0.024632372458459416
Solyc02g078950,-0.7197496841212219,1000,0.01098901098901099,0.024632372458459416
Solyc02g071000,-0.7586919452225191,1000,0.01098901098901099,0.024632372458459416
Solyc10g054900,-0.8825951694096087,1000,0.01098901098901099,0.024632372458459416
Solyc10g047030,0.7597863013824468,1000,0.011988011988011988,0.025992698889895152
Solyc04g080250,0.7542337404124241,1000,0.011988011988011988,0.025992698889895152
Solyc09g083390,0.727758379921037,1000,0.011988011988011988,0.025992698889895152
Solyc06g064900,0.6058097050820505,1000,0.011988011988011988,0.025992698889895152
Solyc08g075490,-0.6797085293136952,1000,0.011988011988011988,0.025992698889895152
Solyc12g011450,-0.7013577457247021,1000,0.011988011988011988,0.025992698889895152
Solyc10g054080,-0.7284679687547133,1000,0.011988011988011988,0.025992698889895152
Solyc02g065260,0.6968524900767223,1000,0.012987012987012988,0.026901669758812616
Solyc10g084600,0.6193190951826774,1000,0.012987012987012988,0.026901669758812616
Solyc11g011210,0.6157944692489224,1000,0.012987012987012988,0.026901669758812616
Solyc11g012860,-0.6157609229951942,1000,0.012987012987012988,0.026901669758812616
Solyc11g056680,-0.6199006659921585,1000,0.012987012987012988,0.026901669758812616
Solyc05g014000,-0.6328289981959333,1000,0.012987012987012988,0.026901669758812616
Solyc02g080160,-0.6550923229188851,1000,0.012987012987012988,0.026901669758812616
Solyc05g010700,-0.7085219995819602,1000,0.012987012987012988,0.026901669758812616
Solyc12g049520,-0.7167994085843524,1000,0.012987012987012988,0.026901669758812616
Solyc03g112130,-0.8852941195216677,1000,0.012987012987012988,0.026901669758812616
Solyc09g089750,0.7425177952763422,1000,0.013986013986013986,0.027851976349830426
Solyc06g053620,0.7005678052919012,1000,0.013986013986013986,0.027851976349830426
Solyc01g108730,0.6603851021836183,1000,0.013986013986013986,0.027851976349830426
Solyc03g118060,0.6171689744431125,1000,0.013986013986013986,0.027851976349830426
Solyc02g083840,0.4959396121641697,1000,0.013986013986013986,0.027851976349830426
Solyc08g063090,-0.6653713071709401,1000,0.013986013986013986,0.027851976349830426
Solyc08g081220,-0.7289980321802889,1000,0.013986013986013986,0.027851976349830426
Solyc10g080540,-0.7764661996105029,1000,0.013986013986013986,0.027851976349830426
