gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,differential
Solyc11g071800,367.58591735274535,0.5076950292029242,0.12132354004447361,4.184637449721779,2.8562158424277124e-5,5.767334779366063e-5,FALSE
Solyc06g083030,18.97408482565423,2.3022332543072728,0.5501811399149631,4.184500498623253,2.85793819996491e-5,5.7701787951625424e-5,TRUE
Solyc12g009200,18.729643054045383,-2.339791081318296,0.5592909612789828,-4.183495252574219,2.8706108740975e-5,5.7951284536057924e-5,TRUE
Solyc03g005230,3401.4383446777465,-0.3148017585842825,0.07525711866476645,-4.183016360041234,2.8766668203179517e-5,5.8067163893603724e-5,FALSE
Solyc01g073960,1529.5518453480993,0.35712691868544383,0.08539163114724342,4.182223877064005,2.8867150328641493e-5,5.826359513520164e-5,FALSE
Solyc11g069490,2739.2838512153608,-0.28043377791090623,0.06705420676268277,-4.182195144048355,2.887079976438379e-5,5.826456384550085e-5,FALSE
Solyc01g091420,12.395934256157968,3.0377656907969643,0.7264074315110888,4.181903376838721,2.8907882526678624e-5,5.833299719955358e-5,TRUE
Solyc03g025740,156.3869405488847,0.742673773264992,0.1776205511049129,4.181237861526092,2.8992637078679896e-5,5.849760151655939e-5,FALSE
Solyc03g117580,433.49630058041737,-0.8262005385730895,0.19761846050825732,-4.180786230437047,2.905028757604411e-5,5.860748864249548e-5,FALSE
Solyc01g087040,320.51405077693215,-0.9043727745783215,0.21639180901310262,-4.179329978814315,2.9236920466464625e-5,5.8977538564141256e-5,FALSE
Solyc03g119840,15.6274082970723,2.611202876999943,0.624878832894305,4.178734723506972,2.9313535925760898e-5,5.9125601374068755e-5,TRUE
Solyc11g005550,353.3955895921658,-0.6115272282596032,0.1463541229642802,-4.17840793189581,2.9355678459035866e-5,5.920410719829471e-5,FALSE
Solyc10g005660,616.691758322004,-0.394966464842567,0.09453729688863595,-4.177890397139595,2.9422536767043286e-5,5.933243674731864e-5,FALSE
Solyc06g005710,194.52187368627665,0.6546534447755197,0.15669784983587223,4.177807452120204,2.9433265560278182e-5,5.934756178508214e-5,FALSE
Solyc07g009490,1228.0142407078117,-0.44830310383989985,0.10733290844911217,-4.176753526179213,2.9569913250186328e-5,5.9616551357553776e-5,FALSE
Solyc02g079100,2462.8125578325403,-0.4357850100569063,0.10436067545617533,-4.175758810989179,2.969943687122574e-5,5.987112051801105e-5,FALSE
Solyc02g083790,96.21683443705845,-0.8465603681691894,0.20277295117862854,-4.174917627072607,2.9809389553622225e-5,6.0086185105727784e-5,FALSE
Solyc05g017990,1214.1964230209499,-0.42117683693535823,0.10089691530397728,-4.174328181059424,2.9886667537704588e-5,6.023534802605235e-5,FALSE
Solyc11g067110,124.21526573197949,0.7756780893119963,0.1858445968799788,4.173799520321491,2.9956138336407145e-5,6.036874490661834e-5,FALSE
Solyc03g116370,10.742134525828993,4.1562317193580816,0.9958105392621812,4.1737173443027915,2.9966950780714573e-5,6.038391496238912e-5,TRUE
Solyc02g030080,1210.319867329682,-0.3279621219237537,0.07857883728754886,-4.173669823130873,2.997320514933495e-5,6.0389898099542354e-5,FALSE
Solyc07g063330,1684.6726829046415,0.337784726907135,0.08095186525978018,4.172661442984177,3.0106213169520223e-5,6.065123470633318e-5,FALSE
Solyc11g069910,920.1377195308193,-0.6264644618326686,0.15013797626717115,-4.172591621442082,3.0115443551471457e-5,6.066318198626997e-5,FALSE
Solyc08g079570,229.8100325045965,0.6508786008288042,0.15611931678265412,4.169109974616037,3.057914212011095e-5,6.159048642423573e-5,FALSE
Solyc08g079450,1135.249083049968,-0.34332772583105314,0.0823788820075791,-4.167666730406295,3.077334111901289e-5,6.197483893413825e-5,FALSE
Solyc09g065430,10.421374238778702,4.126552529169945,0.990314251030254,4.166912194666458,3.08753353475059e-5,6.217343517287774e-5,TRUE
Solyc01g104070,1747.1400999793518,-0.37251736478980124,0.08940775658886359,-4.166499406788618,3.093126973073258e-5,6.227924769551555e-5,FALSE
Solyc11g068960,416.6386731088944,0.5203972434385437,0.12492602297115032,4.165643242791145,3.1047590453560566e-5,6.250660993404927e-5,FALSE
Solyc09g075790,25.294082670585237,1.7896386780650302,0.4297121725575204,4.16473814882559,3.117101086244043e-5,6.274821426678081e-5,TRUE
Solyc03g150138,39.607699745022906,1.434020825987888,0.3443646937118814,4.164250436160235,3.123770947584374e-5,6.287559545542926e-5,TRUE
Solyc03g044740,10.317015386495939,4.053281983214251,0.9733963681991977,4.1640611323760135,3.1263634801137486e-5,6.292088882738234e-5,TRUE
Solyc07g062400,1420.1923796898332,0.3625403665884387,0.08708068210695259,4.163269715126556,3.137224168546009e-5,6.312564786600402e-5,FALSE
Solyc11g072990,21.432725508042076,2.0074287695093145,0.48217449436097687,4.163282780375491,3.137044582311567e-5,6.312564786600402e-5,TRUE
Solyc02g088300,1709.5589524960208,-0.36584177508400684,0.0878759736925914,-4.163160414743149,3.1387269217665626e-5,6.314897340793993e-5,FALSE
Solyc03g116560,295.8203880701824,-0.5284402366727639,0.12696736367652198,-4.162016295928493,3.154498332304846e-5,6.345933775745238e-5,FALSE
Solyc11g010730,90.53708141994854,0.9178085729453621,0.22060373557395843,4.160439851834071,3.176352638848161e-5,6.389199098363688e-5,FALSE
Solyc07g006300,174.56623763363976,0.9123448160984893,0.21933098335447598,4.159671388624496,3.18705795593093e-5,6.410031335216443e-5,FALSE
Solyc01g094970,14.042758134073885,2.666879026761115,0.6413347850828569,4.15832586784852,3.2058847614352564e-5,6.446788000626872e-5,TRUE
Solyc10g079000,394.78959781948953,-0.47423064664831016,0.11404393988440648,-4.158315182104235,3.206034700632696e-5,6.446788000626872e-5,FALSE
Solyc08g014340,3039.89879470295,-0.2722444664789669,0.06547405186919764,-4.158051299816449,3.209739533219647e-5,6.453531864724573e-5,FALSE
Solyc08g074550,2682.752966137369,-0.2790085796338835,0.06710220446237704,-4.157964434541318,3.2109599866859636e-5,6.455279684519692e-5,FALSE
Solyc03g096760,10.023765968770787,4.098205478018216,0.985921564431538,4.15672567257534,3.228412587348326e-5,6.489656489144262e-5,TRUE
Solyc04g076910,1183.5913945276218,-0.3542374165919714,0.0852295387947947,-4.15627517878351,3.234781796901967e-5,6.501748717739871e-5,FALSE
Solyc03g118000,86.70775213302227,0.9376501813716509,0.2256109998077534,4.156048163301599,3.2379959283587227e-5,6.5074974473618e-5,FALSE
Solyc11g045100,215.59211969500967,0.5856603825690089,0.14097560256491953,4.1543385657763805,3.262298401541674e-5,6.555622159547506e-5,FALSE
Solyc03g097020,656.2881729872461,0.4371813984027976,0.10527094495989679,4.152916064060628,3.2826516929786235e-5,6.595801297631002e-5,FALSE
Solyc02g092310,250.04664461327417,-0.5995750430322424,0.1443794899237323,-4.152771583754484,3.284725666086039e-5,6.599247204334388e-5,FALSE
Solyc03g063320,373.39928150560746,-0.5158284845614748,0.1242305632793573,-4.152186635437941,3.293135159051133e-5,6.615419476432846e-5,FALSE
Solyc10g044450,497.8185136488152,-0.5194053880867451,0.12511450017160575,-4.151440379606952,3.303893377699413e-5,6.636305939930977e-5,FALSE
Solyc06g061250,25.65024811748286,1.8950971056615529,0.456502117071181,4.151343520201148,3.305292173579942e-5,6.638390257502468e-5,TRUE
Solyc03g007620,903.4768046494116,-0.38312622987283146,0.09230636546239308,-4.150593818244555,3.316138045109072e-5,6.6594456721914e-5,FALSE
Solyc04g078070,3932.320489079867,-0.6228712421917595,0.15007461647600484,-4.1504103546474775,3.318797340874952e-5,6.664058057597405e-5,FALSE
Solyc03g093430,1010.6928353340351,-0.35069255730814897,0.08451971407029851,-4.149239750343495,3.335812951077439e-5,6.697477706494626e-5,FALSE
Solyc08g065970,267.3006518668302,-0.5491127251963992,0.1323413435083014,-4.149215284050331,3.33616946953007e-5,6.697477706494626e-5,FALSE
Solyc12g005730,332.45887350963847,-0.7500052445987413,0.1807599973066836,-4.149177117580151,3.3367256967852434e-5,6.697862905001433e-5,FALSE
Solyc01g008760,113.5924097672712,-0.8041821302263298,0.19389149006368456,-4.147588581438992,3.359954861983559e-5,6.743754801598838e-5,FALSE
Solyc09g098370,506.1065262701554,-0.43979381608446566,0.10604900116526114,-4.14708117240175,3.3674070164027146e-05,6.757974146564531e-5,FALSE
Solyc10g009570,982.9734438080424,-0.3477432015470978,0.08386908289573482,-4.146262121161008,3.3794692943721326e-5,6.781441331562375e-5,FALSE
Solyc11g010600,1638.7686290959896,0.3179546116273532,0.07670027184424591,4.1454170106856845,3.391958363859233e-5,6.805759725259145e-5,FALSE
Solyc01g099480,16.524221859813146,2.4091555543888004,0.5812262231500817,4.144953304639042,3.3988296397898894e-5,6.818802277448165e-5,TRUE
Solyc04g009060,976.3154029445924,-0.3880422339458897,0.09363028228011713,-4.144409527517706,3.406904265139949e-5,6.834255904197697e-5,FALSE
Solyc06g060910,36.67326789595689,1.4750657736037156,0.3559631142199344,4.143872538131396,3.414895976361302e-5,6.849539850894688e-5,TRUE
Solyc05g005190,2190.873206705561,0.3607217539875987,0.08707788861034779,4.142518379169023,3.435128302169956e-5,6.889369799126152e-5,FALSE
Solyc05g009310,36.20872587276724,1.3711034632870667,0.3309916745929458,4.142410726714659,3.4367416002457726e-5,6.891853478490022e-5,TRUE
Solyc06g066080,96.64512412383732,-0.8539618929054033,0.206271078885807,-4.139998188394419,3.4730856423638795e-5,6.963976152222426e-5,FALSE
Solyc02g067107,65.47226717979795,1.0270337398271174,0.24813988039113252,4.138930583057617,3.489284979366959e-5,6.995694816850562e-5,TRUE
Solyc06g083620,4626.2445008278,-0.25769203541976027,0.06226198087935025,-4.13883451474359,3.490746188119064e-5,6.997861196967585e-5,FALSE
Solyc02g086370,128.41709019506666,0.7457776264362314,0.18019774980784886,4.1386622598311025,3.493367657978871e-5,7.00235281393802e-5,FALSE
