gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect
Solyc06g048470,-0.4863048735119047,-0.47820754278273814,True,0.47820754278273814
Solyc03g006760,-0.48976934523809534,-0.4777367001488096,True,0.4777367001488096
Solyc12g006470,-0.6501697358630951,-0.4769228980654762,True,0.4769228980654762
Solyc01g006540,0.47509765625,0.5625581287202381,True,0.47509765625
Solyc03g113930,0.5889950706845237,0.4749465215773809,True,0.4749465215773809
Solyc03g118120,-0.4890950520833333,-0.4740862165178572,True,0.4740862165178572
Solyc02g078340,0.5232863653273809,0.4720633370535714,True,0.4720633370535714
Solyc10g047030,0.4718075706845238,0.5847981770833335,True,0.4718075706845238
Solyc12g013710,-0.4703543526785715,-0.6973005022321428,True,0.4703543526785715
Solyc08g080630,0.47013346354166663,0.5340983072916667,True,0.47013346354166663
Solyc06g009770,-0.4699474516369047,-0.6510300409226191,True,0.4699474516369047
Solyc08g016310,-0.46805245535714296,-0.8300141834077381,True,0.46805245535714296
Solyc05g015370,0.4659946986607143,0.5508393787202381,True,0.4659946986607143
Solyc01g097290,-0.5502174014136905,-0.465704055059524,True,0.465704055059524
Solyc09g031880,-0.5175083705357144,-0.46295456659226186,True,0.46295456659226186
Solyc01g088400,0.5799153645833333,0.46287899925595255,True,0.46287899925595255
Solyc12g070080,0.4626232328869048,0.605654761904762,True,0.4626232328869048
Solyc10g083670,-0.4623325892857143,-0.7171049572172619,True,0.4623325892857143
Solyc08g082620,-0.5614943731398809,-0.46179780505952395,True,0.46179780505952395
Solyc12g010050,-0.4918619791666666,-0.46156529017857145,True,0.46156529017857145
Solyc03g031860,0.4908621651785714,0.461065383184524,True,0.461065383184524
Solyc04g016330,-0.4580194382440477,-0.48225911458333337,True,0.4580194382440477
Solyc07g055050,-0.4804571242559524,-0.4578799293154762,True,0.4578799293154762
Solyc06g053620,0.45762416294642855,0.738164992559524,True,0.45762416294642855
Solyc12g094640,-0.4572870163690476,-0.551397414434524,True,0.4572870163690476
Solyc03g078440,-0.507754371279762,-0.45718238467261907,True,0.45718238467261907
Solyc05g010700,-0.6749035063244048,-0.4563743954613095,True,0.4563743954613095
Solyc06g069430,0.5056733630952381,0.45345633370535715,True,0.45345633370535715
Solyc06g035610,-0.45314825148809534,-0.590611049107143,True,0.45314825148809534
Solyc10g080980,-0.4530203683035715,-0.5470842633928572,True,0.4530203683035715
Solyc07g065540,-0.460600353422619,-0.45267159598214285,True,0.45267159598214285
Solyc04g054990,-0.452241443452381,-0.48579334077380965,True,0.452241443452381
Solyc01g094700,-0.5732073102678573,-0.45166015625000006,True,0.45166015625000006
Solyc02g070790,-0.46822684151785704,-0.45149158296130953,True,0.45149158296130953
Solyc10g051020,0.5265183221726191,0.4501255580357143,True,0.4501255580357143
Solyc03g118510,-0.5152064732142858,-0.4494396391369049,True,0.4494396391369049
Solyc07g049440,-0.4472423735119048,-0.6409795851934524,True,0.4472423735119048
Solyc09g083130,-0.4467657180059524,-0.5917445591517858,True,0.4467657180059524
Solyc10g075070,-0.6411830357142858,-0.4461844308035715,True,0.4461844308035715
Solyc03g097440,0.4449986049107143,0.5171130952380953,True,0.4449986049107143
Solyc02g079490,0.44382440476190477,0.5022088913690474,True,0.44382440476190477
Solyc08g014010,0.443545386904762,0.6043759300595237,True,0.443545386904762
Solyc10g054080,-0.4431268601190477,-0.6099911644345238,True,0.4431268601190477
Solyc05g014300,0.44284784226190466,0.7418736049107143,True,0.44284784226190466
