gene_id,binding_replicates,source_peak_count,max_peak_score,min_peak_fdr,replicate_ids,admitted_binding
Solyc05g007060,3,3,1.571451,0.00805,GSM989347;GSM989348;GSM989349,True
Solyc05g007070,3,3,1.571451,0.00805,GSM989347;GSM989348;GSM989349,True
Solyc07g054060,3,3,1.571302,0.0041,GSM989347;GSM989348;GSM989349,True
Solyc03g112980,3,3,1.555511,0.01119,GSM989347;GSM989348;GSM989349,True
Solyc03g112990,3,3,1.555511,0.01119,GSM989347;GSM989348;GSM989349,True
Solyc08g066690,3,5,1.554649,0.00949,GSM989347;GSM989348;GSM989349,True
Solyc08g066700,3,5,1.554649,0.00949,GSM989347;GSM989348;GSM989349,True
Solyc02g088260,3,5,1.553726,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc02g088270,3,5,1.553726,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc01g095630,3,3,1.547903,0.00898,GSM989347;GSM989348;GSM989349,True
Solyc07g042390,3,3,1.54599,0.00105,GSM989347;GSM989348;GSM989349,True
Solyc04g005020,3,3,1.543579,0.00308,GSM989347;GSM989348;GSM989349,True
Solyc09g075840,3,3,1.541347,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g121880,3,3,1.53622,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc02g094170,3,3,1.518076,0.0041,GSM989347;GSM989348;GSM989349,True
Solyc02g094180,3,3,1.518076,0.0041,GSM989347;GSM989348;GSM989349,True
Solyc08g014000,3,4,1.513737,0.00707,GSM989347;GSM989348;GSM989349,True
Solyc04g073950,3,3,1.511273,0.01238,GSM989347;GSM989348;GSM989349,True
Solyc01g080870,3,3,1.497191,0.01595,GSM989347;GSM989348;GSM989349,True
Solyc01g099720,3,3,1.497191,0.01372,GSM989347;GSM989348;GSM989349,True
Solyc08g075210,3,3,1.474557,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc08g075220,3,3,1.474557,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc05g009980,3,3,1.459295,0.00877,GSM989347;GSM989348;GSM989349,True
Solyc01g107830,3,3,1.455602,0.00464,GSM989347;GSM989348;GSM989349,True
Solyc01g107840,3,3,1.455602,0.00464,GSM989347;GSM989348;GSM989349,True
Solyc01g107850,3,3,1.455602,0.00464,GSM989347;GSM989348;GSM989349,True
Solyc02g093520,3,3,1.437196,0.01702,GSM989347;GSM989348;GSM989349,True
Solyc01g088650,3,3,1.43181,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g013570,3,3,1.424129,0.00541,GSM989347;GSM989348;GSM989349,True
Solyc07g063600,3,3,1.405902,0.01761,GSM989347;GSM989348;GSM989349,True
Solyc07g063610,3,3,1.405902,0.01761,GSM989347;GSM989348;GSM989349,True
Solyc07g063620,3,3,1.405902,0.01761,GSM989347;GSM989348;GSM989349,True
Solyc12g096060,3,3,1.398482,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc12g096070,3,3,1.398482,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc12g099130,3,5,1.398482,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc07g063580,3,3,1.387718,0.02184,GSM989347;GSM989348;GSM989349,True
Solyc07g063590,3,3,1.387718,0.02184,GSM989347;GSM989348;GSM989349,True
Solyc05g012500,3,3,1.384459,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g097920,3,3,1.365815,0.02961,GSM989347;GSM989348;GSM989349,True
Solyc05g009790,3,3,1.364681,0.01435,GSM989347;GSM989348;GSM989349,True
Solyc09g010630,3,3,1.35261,0.01215,GSM989347;GSM989348;GSM989349,True
Solyc02g076900,3,3,1.348614,0.02138,GSM989347;GSM989348;GSM989349,True
Solyc02g076910,3,3,1.348614,0.02138,GSM989347;GSM989348;GSM989349,True
Solyc12g056630,3,3,1.294367,0.01595,GSM989347;GSM989348;GSM989349,True
Solyc12g056640,3,3,1.294367,0.01595,GSM989347;GSM989348;GSM989349,True
Solyc07g062740,3,3,1.288325,0.01032,GSM989347;GSM989348;GSM989349,True
Solyc07g062750,3,3,1.288325,0.01032,GSM989347;GSM989348;GSM989349,True
Solyc07g008110,3,3,1.2752,0.01593,GSM989347;GSM989348;GSM989349,True
Solyc07g008120,3,3,1.2752,0.01593,GSM989347;GSM989348;GSM989349,True
Solyc08g080120,3,3,1.145531,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g031050,2,3,3.516912,0.00047,GSM989347;GSM989349,True
Solyc00g099460,2,2,3.267872,0.0,GSM989347;GSM989348,True
Solyc00g099470,2,2,3.267872,0.0,GSM989347;GSM989348,True
Solyc00g099570,2,2,3.267872,0.0,GSM989347;GSM989348,True
Solyc00g020940,2,2,2.828821,0.02256,GSM989348;GSM989349,True
Solyc00g020950,2,2,2.828821,0.02256,GSM989348;GSM989349,True
Solyc00g020960,2,2,2.828821,0.02256,GSM989348;GSM989349,True
Solyc00g123030,2,2,2.774608,0.02408,GSM989348;GSM989349,True
Solyc00g123040,2,2,2.774608,0.02408,GSM989348;GSM989349,True
Solyc00g110060,2,2,2.589635,0.02961,GSM989347;GSM989348,True
Solyc00g110070,2,2,2.589635,0.02961,GSM989347;GSM989348,True
Solyc00g071580,2,3,2.527977,0.02726,GSM989348;GSM989349,True
Solyc00g071590,2,2,2.527977,0.03324,GSM989348;GSM989349,True
Solyc00g071600,2,2,2.527977,0.03324,GSM989348;GSM989349,True
Solyc00g024020,2,2,2.343003,0.0,GSM989348;GSM989349,True
Solyc00g024030,2,2,2.343003,0.0,GSM989348;GSM989349,True
Solyc00g024050,2,2,2.343003,0.0,GSM989348;GSM989349,True
Solyc00g024150,2,2,2.343003,0.0,GSM989348;GSM989349,True
Solyc00g031710,2,2,2.343003,0.01754,GSM989348;GSM989349,True
Solyc00g031720,2,2,2.343003,0.01754,GSM989348;GSM989349,True
Solyc00g031730,2,2,2.343003,0.01754,GSM989348;GSM989349,True
Solyc00g028550,2,2,2.293638,0.04612,GSM989347;GSM989349,True
Solyc00g028560,2,2,2.293638,0.04612,GSM989347;GSM989349,True
Solyc00g112820,2,2,2.293638,0.0019,GSM989347;GSM989349,True
Solyc04g082480,2,3,2.251053,0.0,GSM989347;GSM989349,True
Solyc02g064810,2,2,2.136373,0.01754,GSM989348;GSM989349,True
Solyc02g064820,2,2,2.136373,0.01754,GSM989348;GSM989349,True
Solyc06g064870,2,2,2.126927,0.0,GSM989347;GSM989349,True
Solyc06g083660,2,2,2.126927,0.0,GSM989347;GSM989349,True
Solyc07g066010,2,4,2.125737,0.0,GSM989347;GSM989349,True
Solyc07g066020,2,4,2.125737,0.0,GSM989347;GSM989349,True
Solyc03g098290,2,2,2.121153,0.0,GSM989347;GSM989349,True
Solyc00g028420,2,2,2.096371,0.03175,GSM989347;GSM989348,True
Solyc00g028520,2,2,2.096371,0.03175,GSM989347;GSM989348,True
Solyc00g028540,2,2,2.096371,0.03175,GSM989347;GSM989348,True
Solyc02g069370,2,2,2.091572,0.0,GSM989347;GSM989349,True
Solyc02g090680,2,2,2.057837,0.0,GSM989347;GSM989349,True
Solyc09g082670,2,2,2.044643,0.0,GSM989347;GSM989349,True
Solyc08g077060,2,2,2.029897,0.0,GSM989347;GSM989348,True
Solyc08g077070,2,2,2.029897,0.0,GSM989347;GSM989348,True
Solyc02g031680,2,3,2.024102,0.0,GSM989347;GSM989349,True
