gene_id,effect_source_a,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g109180,-0.4111095610119048,Long-chain-fatty-acid-CoA ligase  IPR000873  AMP-dependent synthetase and ligase,-1.7567143069744473,True,-1.7565794506389918,4.28476347236573e-15,1.78793322734209e-13,,,,,,True,False
Solyc02g065780,-0.4109119233630952,Unknown Protein,-0.4957108044426933,True,,,,,,,,,False,False
Solyc02g078570,-0.4928966703869048,Epoxide hydrolase 3  IPR000639  Epoxide hydrolase-like,-1.4022545904407198,True,-1.4019242929693465,3.18752789601176e-14,8.11769281941333e-13,,,,,,True,False
Solyc06g083580,-0.4104817708333332,Pectate lyase 1-27  IPR002022  Pectate lyase_Amb allergen,-0.7531333921626154,True,-0.7529421024451488,6.03381245143395e-09,2.44990977927569e-08,,,,,,True,False
Solyc10g054670,0.4100399925595238,,,,,,,,,,,,,
Solyc12g040640,-0.8142206101190474,"Beta-glucosidase  IPR001360  Glycoside hydrolase, family 1",-0.6362989011859884,True,-0.638348498424861,1.37495997907409e-08,5.09193512250438e-08,,,,,,True,False
Solyc03g120890,-0.4080984933035714,,,,,,,,,,,,,
Solyc11g007540,-0.40771484375,Cytochrome P450,-3.032184070708324,True,-3.0328365646826083,5.39282953275859e-16,3.60386984113973e-14,,,,,,True,False
Solyc12g055840,-0.4056803385416667,"Glucan endo-1 3-beta-glucosidase 7  IPR000490  Glycoside hydrolase, family 17",-2.321379489873669,True,-2.3216400855844492,2.59788567546541e-16,2.07659838227274e-14,,,,,,True,False
Solyc10g054840,-0.5256696428571429,,,,,,,,,,,,,
Solyc05g055400,-0.496640159970238,Cytochrome P450,-2.990205460628894,True,-2.9882648414044777,6.79903791195904e-16,4.16757579044772e-14,,,,,,True,False
Solyc11g044910,0.4937686011904761,"Beta-xylosidase 1  IPR001764  Glycoside hydrolase, family 3, N-terminal",1.625883517428154,True,1.6261965476754172,4.12963565767668e-14,1.00284704167842e-12,,,,,,True,False
Solyc07g054800,0.8856026785714286,,,,,,,,,,,,,
Solyc05g054330,-0.4040411086309525,Epoxide hydrolase  IPR000639  Epoxide hydrolase-like,-1.2328130110744993,True,-1.23240150678035,3.30422429340131e-12,3.69408119745294e-11,,,,,,True,False
Solyc02g067320,-0.4037969680059524,,,,,,,,,,,,,
Solyc01g099630,-0.4528459821428573,"Xyloglucan endotransglucosylase_hydrolase 5  IPR016455  Xyloglucan endotransglucosylase_hydrolase  IPR008263  Glycoside hydrolase, family 16, active site",-0.915774545135297,True,-0.915361710786089,6.34746017659246e-10,3.41089637542647e-09,,,,,,True,False
Solyc08g075490,-0.6520879836309526,,,,,,,,,,,,,
Solyc03g121720,-0.4033551897321428,2-hydroxy-3-oxopropionate reductase  IPR015815  3-hydroxyacid dehydrogenase_reductase,-0.8280987776570703,True,-0.8287423065047275,2.78757230520054e-11,2.20035014641406e-10,,,,,,True,False
Solyc03g112130,-0.4025646391369048,,,,,,,,,,,,,
Solyc08g076520,-0.4046921502976189,,,,,,,,,,,,,
Solyc01g108880,0.4735630580357143,1-aminocyclopropane-1-carboxylate oxidase  IPR005123  Oxoglutarate and iron-dependent oxygenase,1.9369859794187012,True,1.9365997664515704,1.47517710282586e-14,4.60048213681273e-13,,,,,,True,False
Solyc02g077790,0.5277506510416666,,,,,,,,,,,,,
Solyc05g054090,-0.4586123511904759,Unknown Protein,-2.1173273191230058,True,-2.1196151687008813,1.75544950091846e-12,2.18521500898645e-11,,,,,,True,False
Solyc08g066430,0.4588681175595239,Lachrymatory factor synthase  IPR019587  Polyketide cyclase_dehydrase,1.175469275903719,True,1.1740041769704215,2.60564097661665e-12,3.02335992169305e-11,,,,,,True,False
Solyc01g099660,0.5013718377976191,Heat shock protein  IPR013126  Heat shock protein 70,2.2704543208365457,True,2.2703459622906004,6.41120302892552e-16,4.07019803722072e-14,,,,,,True,False
Solyc07g041640,-0.5654761904761906,,,,,,,,,,,,,
Solyc06g009190,-0.4758765811011905,"Pectinesterase  IPR000070  Pectinesterase, catalytic",-0.19910142550669316,True,,,,,,,,,False,False
Solyc02g077330,-0.450590587797619,,,,,,,,,,,,,
Solyc07g063350,-0.5208449590773809,COP1-Interacting ProteinI 7 (CIP7) (Fragment),-2.954166821514898,True,-2.954746420406669,9.79414956523209e-20,2.82958665073151e-16,8.0,2.099522023568717,-2.099522023568717,1.59942433690156e-09,Solyc07g063350.2.1_S661;S666;Solyc07g063350.2.1_S752;Solyc07g063350.2.1_S796;Solyc07g063350.2.1_S807;Solyc07g063350.2.1_S885;Solyc07g063350.2.1_S895;Solyc07g063350.2.1_S895;S898,True,True
Solyc07g061970,-0.4752720424107143,,,,,,,,,,,,,
Solyc12g088350,0.4234444754464286,,,,,,,,,,,,,
Solyc06g084030,-0.5620233444940477,,,,,,,,,,,,,
