gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g107130,Vacuolar sorting receptor  IPR003137  Protease-associated PA,0.5066206004647971,True,,,,,,,,,False,False
Solyc01g107150,Zinc finger protein-like 1,-0.27146833461859243,True,,,,5.0,1.467531396468397,1.467531396468397,1.40599090810253e-07,Solyc01g107150.2.1_S238;S241;Solyc01g107150.2.1_S275;Solyc01g107150.2.1_T217;Solyc01g107150.2.1_T226,False,True
Solyc01g107160,"Mitotic checkpoint protein BUB3  IPR020472  G-protein beta WD-40 repeat, region",-0.0741022971056293,True,,,,,,,,,False,False
Solyc01g107320,Pentatricopeptide repeat-containing protein  IPR002885  Pentatricopeptide repeat,-0.06665195889856236,True,,,,,,,,,False,False
Solyc01g107330,SWIB_MDM2 domain protein  IPR019835  SWIB domain,-0.7326704975416916,True,-0.7180596262648983,1.74350551038323e-05,3.41252520948826e-05,,,,,,True,False
Solyc01g107380,Seed maturation protein PM23 (Fragment),0.08355460100939241,True,,,,,,,,,False,False
Solyc01g107400,Indole-3-acetic acid-amido synthetase GH3.8,-0.6122515451131282,True,-0.6116569657806519,1.61184787364971e-05,3.17370489610071e-05,,,,,,True,False
Solyc01g107410,"PHD-finger family homeodomain protein (Fragment)  IPR019787  Zinc finger, PHD-finger",-0.8102180683999554,True,-0.8092162449871803,1.83671621997856e-10,1.13584283395058e-09,2.0,0.6390191361479993,0.6390191361479993,7.41257253372451e-05,Solyc01g107410.2.1_S209,True,True
Solyc01g107470,Unknown Protein,0.012357981507336663,True,,,,,,,,,False,False
Solyc01g107520,PBSP domain-containing protein  IPR007541  Plant Basic Secretory Protein,0.20099679966793507,True,,,,,,,,,False,False
Solyc01g107550,Methylthioribose kinase  IPR009212  Methylthioribose kinase,0.20150139910723272,True,,,,,,,,,False,False
Solyc01g107590,"Cinnamyl alcohol dehydrogenase  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing",-1.2819149385086215,True,-1.2845653967537638,9.11000193943236e-12,8.61379757847604e-11,,,,,,True,False
Solyc01g107600,Unc-50 homolog  IPR007881  UNC-50,-0.07910528045413374,True,,,,,,,,,False,False
Solyc01g107620,Reticulon family protein  IPR003388  Reticulon,-0.6029057467020352,True,-0.6035294886001384,1.22155893925956e-07,3.61907195071301e-07,,,,,,True,False
Solyc01g107630,Cell division cycle protein 123-like protein  IPR009772  D123,-0.5611242783480714,True,,,,,,,,,False,False
Solyc01g107640,Tic21,-0.2643697558207566,True,,,,,,,,,False,False
Solyc01g107670,"LRR receptor-like serine_threonine-protein kinase, RLP",-0.7889142601457111,True,-0.7780078289894602,1.53975329440541e-07,4.47379119995925e-07,,,,,,True,False
Solyc01g107700,Kynurenine formamidase  IPR007325  Putative cyclase,0.7232281118791996,True,0.7233612794729314,4.65680327373176e-11,3.43768002466178e-10,,,,,,True,False
Solyc01g107740,Protein unc-13 homolog C  IPR018029  C2 membrane targeting protein,1.0981211764804621,True,1.1008861298099788,6.73623879220341e-10,3.59589732042666e-09,,,,,,True,False
